id,subject,metric,games,mean,error,interval,verdict,seed,seats,question,command
ladder.free-for-all.random,random,win rate,40950,0.000900,0.000134,0.000263,,20260819,5,"How often does this rung declare with the whole ladder at one table, fully crossed?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.free-for-all.simple,simple,win rate,40951,0.153180,0.001544,0.003025,,20260819,5,"How often does this rung declare with the whole ladder at one table, fully crossed?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.free-for-all.greedy,greedy,win rate,40951,0.221960,0.001758,0.003445,,20260819,5,"How often does this rung declare with the whole ladder at one table, fully crossed?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.free-for-all.cautious,cautious,win rate,40951,0.222100,0.001756,0.003441,,20260819,5,"How often does this rung declare with the whole ladder at one table, fully crossed?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.free-for-all.counting,counting,win rate,40951,0.223720,0.001758,0.003446,,20260819,5,"How often does this rung declare with the whole ladder at one table, fully crossed?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.free-for-all.outs,outs,win rate,40951,0.253340,0.001823,0.003574,,20260819,5,"How often does this rung declare with the whole ladder at one table, fully crossed?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.free-for-all.warden,warden,win rate,40951,0.178660,0.001636,0.003206,,20260819,5,"How often does this rung declare with the whole ladder at one table, fully crossed?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.free-for-all.opportunist,opportunist,win rate,40951,0.242260,0.001805,0.003538,,20260819,5,"How often does this rung declare with the whole ladder at one table, fully crossed?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.free-for-all.angler,angler,win rate,40951,0.248640,0.001820,0.003567,,20260819,5,"How often does this rung declare with the whole ladder at one table, fully crossed?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.free-for-all.sprinter,sprinter,win rate,40951,0.255220,0.001833,0.003592,,20260819,5,"How often does this rung declare with the whole ladder at one table, fully crossed?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.take-rate.random,random,take rate,40822,0.488193,0.000911,0.001786,,20260819,5,"Of this rung's acquisitions at the crossed table, how many came off the pile rather than the deck?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.take-rate.simple,simple,take rate,40840,0.205496,0.000731,0.001432,,20260819,5,"Of this rung's acquisitions at the crossed table, how many came off the pile rather than the deck?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.take-rate.greedy,greedy,take rate,40838,0.233300,0.000749,0.001468,,20260819,5,"Of this rung's acquisitions at the crossed table, how many came off the pile rather than the deck?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.take-rate.cautious,cautious,take rate,40837,0.232421,0.000750,0.001470,,20260819,5,"Of this rung's acquisitions at the crossed table, how many came off the pile rather than the deck?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.take-rate.counting,counting,take rate,40854,0.231829,0.000753,0.001475,,20260819,5,"Of this rung's acquisitions at the crossed table, how many came off the pile rather than the deck?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.take-rate.outs,outs,take rate,40837,0.244644,0.000767,0.001504,,20260819,5,"Of this rung's acquisitions at the crossed table, how many came off the pile rather than the deck?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.take-rate.warden,warden,take rate,40832,0.419876,0.000962,0.001885,,20260819,5,"Of this rung's acquisitions at the crossed table, how many came off the pile rather than the deck?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.take-rate.opportunist,opportunist,take rate,40854,0.244306,0.000763,0.001496,,20260819,5,"Of this rung's acquisitions at the crossed table, how many came off the pile rather than the deck?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.take-rate.angler,angler,take rate,40832,0.247304,0.000771,0.001512,,20260819,5,"Of this rung's acquisitions at the crossed table, how many came off the pile rather than the deck?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.take-rate.sprinter,sprinter,take rate,40839,0.247730,0.000774,0.001517,,20260819,5,"Of this rung's acquisitions at the crossed table, how many came off the pile rather than the deck?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.race-reach.random,random,race reach rate,40833,0.005743,0.000211,0.000414,,20260819,5,"Of this rung's discards at the crossed table, how many left it within one card of covering — the endgame regime `sprinter` races in (RULES.md §7.1, BUILD-PLAN P46)?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.race-reach.simple,simple,race reach rate,40849,0.141342,0.001010,0.001980,,20260819,5,"Of this rung's discards at the crossed table, how many left it within one card of covering — the endgame regime `sprinter` races in (RULES.md §7.1, BUILD-PLAN P46)?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.race-reach.greedy,greedy,race reach rate,40848,0.228053,0.001202,0.002355,,20260819,5,"Of this rung's discards at the crossed table, how many left it within one card of covering — the endgame regime `sprinter` races in (RULES.md §7.1, BUILD-PLAN P46)?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.race-reach.cautious,cautious,race reach rate,40847,0.228507,0.001203,0.002357,,20260819,5,"Of this rung's discards at the crossed table, how many left it within one card of covering — the endgame regime `sprinter` races in (RULES.md §7.1, BUILD-PLAN P46)?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.race-reach.counting,counting,race reach rate,40867,0.227645,0.001211,0.002374,,20260819,5,"Of this rung's discards at the crossed table, how many left it within one card of covering — the endgame regime `sprinter` races in (RULES.md §7.1, BUILD-PLAN P46)?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.race-reach.outs,outs,race reach rate,40844,0.256386,0.001222,0.002395,,20260819,5,"Of this rung's discards at the crossed table, how many left it within one card of covering — the endgame regime `sprinter` races in (RULES.md §7.1, BUILD-PLAN P46)?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.race-reach.warden,warden,race reach rate,40839,0.192164,0.001178,0.002308,,20260819,5,"Of this rung's discards at the crossed table, how many left it within one card of covering — the endgame regime `sprinter` races in (RULES.md §7.1, BUILD-PLAN P46)?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.race-reach.opportunist,opportunist,race reach rate,40865,0.248203,0.001225,0.002402,,20260819,5,"Of this rung's discards at the crossed table, how many left it within one card of covering — the endgame regime `sprinter` races in (RULES.md §7.1, BUILD-PLAN P46)?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.race-reach.angler,angler,race reach rate,40841,0.254680,0.001225,0.002401,,20260819,5,"Of this rung's discards at the crossed table, how many left it within one card of covering — the endgame regime `sprinter` races in (RULES.md §7.1, BUILD-PLAN P46)?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.race-reach.sprinter,sprinter,race reach rate,40850,0.265936,0.001250,0.002451,,20260819,5,"Of this rung's discards at the crossed table, how many left it within one card of covering — the endgame regime `sprinter` races in (RULES.md §7.1, BUILD-PLAN P46)?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.random-over-simple,random vs simple,win rate margin,8010,-0.398402,0.001750,0.003429,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.random-over-greedy,random vs greedy,win rate margin,8010,-0.398102,0.001756,0.003443,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.random-over-cautious,random vs cautious,win rate margin,8010,-0.398302,0.001755,0.003440,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.random-over-counting,random vs counting,win rate margin,8010,-0.398202,0.001756,0.003443,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.random-over-outs,random vs outs,win rate margin,8010,-0.398302,0.001753,0.003436,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.random-over-warden,random vs warden,win rate margin,8001,-0.395571,0.001786,0.003500,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.random-over-opportunist,random vs opportunist,win rate margin,8009,-0.398072,0.001754,0.003438,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.random-over-angler,random vs angler,win rate margin,8010,-0.398302,0.001753,0.003436,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.random-over-sprinter,random vs sprinter,win rate margin,8010,-0.398302,0.001754,0.003438,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.simple-over-greedy,simple vs greedy,win rate margin,8010,-0.074207,0.004091,0.008017,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.simple-over-cautious,simple vs cautious,win rate margin,8010,-0.080599,0.004081,0.007999,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.simple-over-counting,simple vs counting,win rate margin,8010,-0.079600,0.004081,0.007998,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.simple-over-outs,simple vs outs,win rate margin,8010,-0.108365,0.004020,0.007879,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.simple-over-warden,simple vs warden,win rate margin,8010,-0.028464,0.004131,0.008096,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.simple-over-opportunist,simple vs opportunist,win rate margin,8010,-0.100574,0.004029,0.007897,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.simple-over-angler,simple vs angler,win rate margin,8010,-0.107965,0.004023,0.007885,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.simple-over-sprinter,simple vs sprinter,win rate margin,8010,-0.115056,0.003996,0.007832,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.greedy-over-cautious,greedy vs cautious,win rate margin,8010,0.000300,0.004131,0.008096,inside the interval,20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.greedy-over-counting,greedy vs counting,win rate margin,8010,0.006092,0.004143,0.008121,inside the interval,20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.greedy-over-outs,greedy vs outs,win rate margin,8010,-0.026667,0.004131,0.008096,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.greedy-over-warden,greedy vs warden,win rate margin,8010,0.044844,0.004117,0.008068,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.greedy-over-opportunist,greedy vs opportunist,win rate margin,8010,-0.019875,0.004139,0.008111,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.greedy-over-angler,greedy vs angler,win rate margin,8010,-0.026167,0.004133,0.008100,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.greedy-over-sprinter,greedy vs sprinter,win rate margin,8010,-0.034657,0.004120,0.008075,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.cautious-over-counting,cautious vs counting,win rate margin,8010,0.000999,0.004157,0.008147,inside the interval,20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.cautious-over-outs,cautious vs outs,win rate margin,8010,-0.029164,0.004144,0.008121,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.cautious-over-warden,cautious vs warden,win rate margin,8010,0.047441,0.004128,0.008092,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.cautious-over-opportunist,cautious vs opportunist,win rate margin,8010,-0.021573,0.004153,0.008139,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.cautious-over-angler,cautious vs angler,win rate margin,8010,-0.028365,0.004143,0.008121,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
